state_abbreviation,tax_code,unique_tax_id,tax_name,sub_tax_desc
PA,TAX6999,42-115-1215618-LST-586503,"Thompson, Borough of - LST - Susquehanna Comm S D (586503)",MUNICIPAL
PA,TAX6999,42-115-1215618-LST-586503,"Thompson, Borough of - LST - Susquehanna Comm S D (586503)",SCHOOL
PA,TAX7057,42-127-1217219-EIT-648703,"Dyberry, Township of - EIT - Wayne Highlands S D (648703)",MUNICIPAL
PA,TAX7057,42-127-1217219-EIT-648703,"Dyberry, Township of - EIT - Wayne Highlands S D (648703)",SCHOOL
PA,TAX6973,42-103-1216963-EIT-648303,"Palmyra, Township of - EIT - Wallenpaupack Area S D (648303)",MUNICIPAL
PA,TAX6973,42-103-1216963-EIT-648303,"Palmyra, Township of - EIT - Wallenpaupack Area S D (648303)",SCHOOL
PA,TAX7024,42-115-1217098-EIT-586503,"Thompson, Township of - EIT - Susquehanna Comm S D (586503)",MUNICIPAL
PA,TAX7024,42-115-1217098-EIT-586503,"Thompson, Township of - EIT - Susquehanna Comm S D (586503)",SCHOOL
PA,TAX6966,42-103-1216959-LST-522003,"Dingman, Township of - LST - Delaware Valley S D (522003)",MUNICIPAL
PA,TAX6966,42-103-1216959-LST-522003,"Dingman, Township of - LST - Delaware Valley S D (522003)",SCHOOL
PA,TAX6967,42-103-1216960-EIT-648303,"Greene, Township of - EIT - Wallenpaupack Area S D (648303)",MUNICIPAL
PA,TAX6967,42-103-1216960-EIT-648303,"Greene, Township of - EIT - Wallenpaupack Area S D (648303)",SCHOOL
PA,TAX7038,42-127-1215684-LST-648703,"Bethany, Borough of - LST - Wayne Highlands S D (648703)",MUNICIPAL
PA,TAX7038,42-127-1215684-LST-648703,"Bethany, Borough of - LST - Wayne Highlands S D (648703)",SCHOOL
PA,TAX6948,42-045-1215194-LST-239603,"Rose Valley, Borough of - LST - Wallingford-Swarthmore S D (239603)",MUNICIPAL
PA,TAX6948,42-045-1215194-LST-239603,"Rose Valley, Borough of - LST - Wallingford-Swarthmore S D (239603)",SCHOOL
PA,TAX6976,42-103-1216965-EIT-522003,"Shohola, Township of - EIT - Delaware Valley S D (522003)",MUNICIPAL
PA,TAX6976,42-103-1216965-EIT-522003,"Shohola, Township of - EIT - Delaware Valley S D (522003)",SCHOOL
PA,TAX6990,42-115-1215612-LST-586503,"Lanesboro, Borough of - LST - Susquehanna Comm S D (586503)",MUNICIPAL
PA,TAX6990,42-115-1215612-LST-586503,"Lanesboro, Borough of - LST - Susquehanna Comm S D (586503)",SCHOOL
PA,TAX7048,42-127-1217213-EIT-648703,"Berlin, Township of - EIT - Wayne Highlands S D (648703)",MUNICIPAL
PA,TAX7048,42-127-1217213-EIT-648703,"Berlin, Township of - EIT - Wayne Highlands S D (648703)",SCHOOL
PA,TAX6984,42-115-1215609-LST-581003,"Great Bend, Borough of - LST - Blue Ridge S D (581003)",MUNICIPAL
PA,TAX6984,42-115-1215609-LST-581003,"Great Bend, Borough of - LST - Blue Ridge S D (581003)",SCHOOL
PA,TAX6979,42-115-1215608-EIT-584503,"Friendsville, Borough of - EIT - Montrose Area S D (584503)",MUNICIPAL
PA,TAX6979,42-115-1215608-EIT-584503,"Friendsville, Borough of - EIT - Montrose Area S D (584503)",SCHOOL
PA,TAX6936,42-017-1214983-EIT-098202,"Yardley, Borough of - EIT - Pennsbury S D (098202)",MUNICIPAL
PA,TAX6936,42-017-1214983-EIT-098202,"Yardley, Borough of - EIT - Pennsbury S D (098202)",SCHOOL
PA,TAX7063,42-127-1217223-EIT-648703,"Manchester, Township of - EIT - Wayne Highlands S D (648703)",MUNICIPAL
PA,TAX7063,42-127-1217223-EIT-648703,"Manchester, Township of - EIT - Wayne Highlands S D (648703)",SCHOOL
PA,TAX6987,42-115-1215610-LST-581003,"Hallstead, Borough of - LST - Blue Ridge S D (581003)",MUNICIPAL
PA,TAX6987,42-115-1215610-LST-581003,"Hallstead, Borough of - LST - Blue Ridge S D (581003)",SCHOOL
PA,TAX7032,42-115-1217245-LST-584503,"Choconut, Township of - LST - Montrose Area S D (584503)",MUNICIPAL
PA,TAX7032,42-115-1217245-LST-584503,"Choconut, Township of - LST - Montrose Area S D (584503)",SCHOOL
PA,TAX6994,42-115-1215617-EIT-586503,"Susquehanna Depot, Borough of - EIT - Susquehanna Comm S D (586503)",MUNICIPAL
PA,TAX6994,42-115-1215617-EIT-586503,"Susquehanna Depot, Borough of - EIT - Susquehanna Comm S D (586503)",SCHOOL
PA,TAX7045,42-127-1215688-EIT-586503,"Starrucca, Borough of - EIT - Susquehanna Comm S D (586503)",MUNICIPAL
PA,TAX7045,42-127-1215688-EIT-586503,"Starrucca, Borough of - EIT - Susquehanna Comm S D (586503)",SCHOOL
PA,TAX7002,42-115-1217076-LST-586503,"Ararat, Township of - LST - Susquehanna Comm S D (586503)",MUNICIPAL
PA,TAX7002,42-115-1217076-LST-586503,"Ararat, Township of - LST - Susquehanna Comm S D (586503)",SCHOOL
PA,TAX7081,42-127-1217250-EIT-648703,"Scott, Township of - EIT - Wayne Highlands S D (648703)",MUNICIPAL
PA,TAX7081,42-127-1217250-EIT-648703,"Scott, Township of - EIT - Wayne Highlands S D (648703)",SCHOOL
PA,TAX6982,42-115-1215609-EIT-581003,"Great Bend, Borough of - EIT - Blue Ridge S D (581003)",MUNICIPAL
PA,TAX6982,42-115-1215609-EIT-581003,"Great Bend, Borough of - EIT - Blue Ridge S D (581003)",SCHOOL
PA,TAX6961,42-103-1216958-EIT-522003,"Delaware, Township of - EIT - Delaware Valley S D (522003)",MUNICIPAL
